sort,study,ref,source,species,taxon,thermy,growth,climate_pop,climate_sp,breeding,dispersal,migration,mating,parenting,SSD,ageclass,trait,unit,direction,category,background,Mean_M,SD_M,M_n,Mean_F,SD_F,F_n,behavioural categories,Dependency temporal level,Dependency individual level,Dependency behaviour,notes,include_1,reason for exclusion,include_2
186,A195,"Ellis, VA; Merrill, L; Wingfield, JC; O'Loghlen, AL; Rothstein, SI",10.1525/auk.2012.11215,Molothrus ater,bird,,,,,,,,,,,,Corticosterone late molt,ng/ml,,physiology,,0.535,0.133,10,1.041,0.715,10,NA,,,,"exclude, males and females measured at different time points",0,sexes treated differently,
187,A195,"Ellis, VA; Merrill, L; Wingfield, JC; O'Loghlen, AL; Rothstein, SI",10.1525/auk.2012.11215,Molothrus ater,bird,,,,,iteroparous,,,promiscuity,none,,,Corticosterone postmolt 1,ng/ml,high values = slow,physiology,semiwild,2.148,0.919,10,1.134,0.557,10,NA,2,1,NA,include ,1,,1
188,A197,"Emaresi, G; Bize, P; Altwegg, R; Henry, I; van den Brink, V; Gasparini, J; Roulin, A",10.1086/674444,Strix aluco,bird,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,,"exclude, Only model stats",0,LS means,0
189,A204,"Fairhurst, GD; Navarro, J; Gonzalez-Solis, J; Marchant, TA; Bortolotti, GR",10.1098/rspb.2011.0884,Calonectris diomedea,bird,,,,,,,,,,,,"Parent's effekt on offspring corticosterone under an experimental treatments. Two variables tested, feeding trip duration and feeding efficiency during duration (mass loss/trip duration)",,,,,NA,NA,NA,NA,NA,NA,NA,,,,"exclude, Weird trait and only model effect sizes given with SE, but N is available",0,LS means,0
190,A208,"Fisher, DN; David, M; Tregenza, T; Rodriguez-Munoz, R",10.1093/beheco/arv048,Gryllus campestris,insect,,,,,,,,,,,,Exploration behaviour,,,,,NA,NA,NA,NA,NA,NA,NA,,,,"exclude, Sex only as fixed factor",0,no sex-specific means given,0
191,A215,"Gracceva, G; Herde, A; Groothuis, TGG; Koolhaas, JM; Palme, R; Eccard, JA",10.1111/eth.12246,Microtus arvalis,mammal,,,,,,,,,,,,Distance moved in open field Su-Su group,cm,high values = fast,behavior,,NA,NA,NA,NA,NA,NA,NA,,,,"exclude, Probably exclude since valuesn in figs are from mixed model, se are given, but not sex-specific N",0,LS means,0
192,A215,"Gracceva, G; Herde, A; Groothuis, TGG; Koolhaas, JM; Palme, R; Eccard, JA",10.1111/eth.12246,Microtus arvalis,mammal,,,,,,,,,,,,Latency to jump Su-Su group,s,high=slow,behavior,,NA,NA,NA,NA,NA,NA,NA,,,,"exclude, Probably exclude since valuesn in figs are from mixed model, se are given, but not sex-specific N",0,LS means,0
193,A215,"Gracceva, G; Herde, A; Groothuis, TGG; Koolhaas, JM; Palme, R; Eccard, JA",10.1111/eth.12246,Microtus arvalis,mammal,,,,,,,,,,,,Corticosterone after stress Su-Su group,ng metabolites/0.05g feces,high=slow,physiology,,NA,NA,NA,NA,NA,NA,NA,,,,"exclude, Probably exclude since valuesn in figs are from mixed model, se are given, but not sex-specific N",0,LS means,0
194,A215,"Gracceva, G; Herde, A; Groothuis, TGG; Koolhaas, JM; Palme, R; Eccard, JA",10.1111/eth.12246,Microtus arvalis,mammal,,,,,,,,,,,,Distance moved in open field Su-Wi group,cm,high values = fast,behavior,,NA,NA,NA,NA,NA,NA,NA,,,,"exclude, Probably exclude since valuesn in figs are from mixed model, se are given, but not sex-specific N",0,LS means,0
195,A215,"Gracceva, G; Herde, A; Groothuis, TGG; Koolhaas, JM; Palme, R; Eccard, JA",10.1111/eth.12246,Microtus arvalis,mammal,,,,,,,,,,,,Latency to jump Su-Wi group,s,high=slow,behavior,,NA,NA,NA,NA,NA,NA,NA,,,,"exclude, Probably exclude since valuesn in figs are from mixed model, se are given, but not sex-specific N",0,LS means,0
196,A215,"Gracceva, G; Herde, A; Groothuis, TGG; Koolhaas, JM; Palme, R; Eccard, JA",10.1111/eth.12246,Microtus arvalis,mammal,,,,,,,,,,,,Corticosterone after stress Su-Wi group,ng metabolites/0.05g feces,high=slow,physiology,,NA,NA,NA,NA,NA,NA,NA,,,,"exclude, Probably exclude since valuesn in figs are from mixed model, se are given, but not sex-specific N",0,LS means,0
197,A216,"Griffin, AS; Guez, D; Lermite, F; Patience, M",10.1371/journal.pone.0084907,Sturnus tristis,bird,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,,"exclude, Trait is learning and innovation, cannot see how that fits on POLS scale? Need to calc means from figures if want to use it. Not a POLS trait",0,not a POLS trait,0
198,A226,"Hamalainen, A; Heistermann, M; Kraus, C",10.1007/s00442-015-3297-3,Microcebus murinus,mammal,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,,"exclude, Mixed model output only. Table 2.",0,LS means,0
199,A229,"Han, CS; Jablonski, PG; Brooks, RC",10.1016/j.anbehav.2015.08.017,Gerris gracilicornis,arthropod,,,,,,,,promiscuity,,,,Boldness in mating context,delta,,behavior,,NA,NA,NA,NA,NA,NA,boldness,,,,"exclude, Boldness is n index with scale problems and derived from regression",0,LS means,0
200,A229,"Han, CS; Jablonski, PG; Brooks, RC",10.1016/j.anbehav.2015.08.017,Gerris gracilicornis,arthropod,,,,,iteroparous,,,promiscuity,none,,,Grooming duration,s,high values = fast,behavior,semiwild,137.7,96.54,42,86.43,76.78,43,boldness,0,1,0,"include, Median converted using scenario 2 in Wan et al. 2014",1,,0
201,A229,"Han, CS; Jablonski, PG; Brooks, RC",10.1016/j.anbehav.2015.08.017,Gerris gracilicornis,arthropod,,,,,iteroparous,,,promiscuity,none,,,Number of strokes,count,high values = fast,behavior,semiwild,3.31,3,42,2.11,1.94,43,boldness,0,1,0,"include, Median converted using scenario 2 in Wan et al. 2014",1,,0
202,A237,"Harris, BN; Saltzman, W",10.1016/j.ygcen.2013.02.010,Peromyscus californicus,mammal,,,,,,,,,,,,Corticosterone concentration basal at 0800h young animals,ng/ml,high values = slow,physiology,,54.76,49.15555716,22,45.06,22.23081195,10,NA,,,,"exclude, young individuals (not sexually mature), also means from mixed model, so technically least squares?",0,LS means,0
203,A237,"Harris, BN; Saltzman, W",10.1016/j.ygcen.2013.02.010,Peromyscus californicus,mammal,,,,,,,,,,,,Corticosterone concentration basal at 2000h young animals,ng/ml,high values = slow,physiology,,1682.94,603.3750833,22,1522.85,724.6991714,10,NA,,,,"exclude, young individuals (not sexually mature), also means from mixed model, so technically least squares?",0,LS means,0
204,A237,"Harris, BN; Saltzman, W",10.1016/j.ygcen.2013.02.010,Peromyscus californicus,mammal,,,,,,,,,,,,Corticosterone concentration Post-stress young animals,ng/ml,high values = slow,physiology,,654.14,387.1469168,22,966.85,538.6623766,10,NA,,,,"exclude, young individuals (not sexually mature), also means from mixed model, so technically least squares?",0,LS means,0
205,A237,"Harris, BN; Saltzman, W",10.1016/j.ygcen.2013.02.010,Peromyscus californicus,mammal,,,,,,,,,,,,Corticosterone concentration Post-DEX young animals,ng/ml,high values = slow,physiology,,104.55,50.65649021,22,81.81,41.99504733,10,NA,,,,"exclude, young individuals (not sexually mature), also means from mixed model, so technically least squares?",0,LS means,0
206,A237,"Harris, BN; Saltzman, W",10.1016/j.ygcen.2013.02.010,Peromyscus californicus,mammal,,,,,,,,,,,,Corticosterone concentration 45 min Post-CRH young animals,ng/ml,high values = slow,physiology,,357.94,477.1090911,22,87,25.17173017,10,NA,,,,"exclude, young individuals (not sexually mature), also means from mixed model, so technically least squares?",0,LS means,0
207,A237,"Harris, BN; Saltzman, W",10.1016/j.ygcen.2013.02.010,Peromyscus californicus,mammal,,,,,,,,,,,,Corticosterone concentration 90 min Post-CRH young animals,ng/ml,high values = slow,physiology,,899.96,863.0364998,22,637.65,584.2624205,10,NA,,,,"exclude, young individuals (not sexually mature), also means from mixed model, so technically least squares?",0,LS means,0
208,A237,"Harris, BN; Saltzman, W",10.1016/j.ygcen.2013.02.010,Peromyscus californicus,mammal,,,,,,,,,,,,Corticosterone concentration basal at 0800h old animals,ng/ml,high values = slow,physiology,,52.78,49.40016599,21,39.62,28.32,9,NA,,,,"exclude, young individuals (not sexually mature), also means from mixed model, so technically least squares?",0,LS means,0
209,A237,"Harris, BN; Saltzman, W",10.1016/j.ygcen.2013.02.010,Peromyscus californicus,mammal,,,,,,,,,,,,Corticosterone concentration basal at 2000h old animals,ng/ml,high values = slow,physiology,,1839.6,767.9938607,21,1403.75,790.95,9,NA,,,,"exclude, young individuals (not sexually mature), also means from mixed model, so technically least squares?",0,LS means,0
210,A237,"Harris, BN; Saltzman, W",10.1016/j.ygcen.2013.02.010,Peromyscus californicus,mammal,,,,,,,,,,,,Corticosterone concentration Post-stress old animals,ng/ml,high values = slow,physiology,,709.87,450.5130166,21,780.85,548.22,9,NA,,,,"exclude, young individuals (not sexually mature), also means from mixed model, so technically least squares?",0,LS means,0
211,A237,"Harris, BN; Saltzman, W",10.1016/j.ygcen.2013.02.010,Peromyscus californicus,mammal,,,,,,,,,,,,Corticosterone concentration Post-DEX old animals,ng/ml,high values = slow,physiology,,73.75,36.52312829,21,79.3,46.05,9,NA,,,,"exclude, young individuals (not sexually mature), also means from mixed model, so technically least squares?",0,LS means,0
212,A237,"Harris, BN; Saltzman, W",10.1016/j.ygcen.2013.02.010,Peromyscus californicus,mammal,,,,,,,,,,,,Corticosterone concentration 45 min Post-CRH old animals,ng/ml,high values = slow,physiology,,309.85,643.9893624,21,165.14,247.59,9,NA,,,,"exclude, young individuals (not sexually mature), also means from mixed model, so technically least squares?",0,LS means,0
213,A237,"Harris, BN; Saltzman, W",10.1016/j.ygcen.2013.02.010,Peromyscus californicus,mammal,,,,,,,,,,,,Corticosterone concentration 90 min Post-CRH old animals,ng/ml,high values = slow,physiology,,1199.05,1200.314052,21,1025.61,1003.59,9,NA,,,,"exclude, young individuals (not sexually mature), also means from mixed model, so technically least squares?",0,LS means,0
214,A260,"Herde, A; Eccard, JA",10.1186/1472-6785-13-49,Microtus arvalis,mammal,,,,,iteroparous,,,promiscuity,female,,,Latency to cross barrier,s,high values = slow,behavior,semiwild,21,75.04665216,88,19,71.55417528,80,boldness,0,0,0,include ,1,,1
215,A260,"Herde, A; Eccard, JA",10.1186/1472-6785-13-49,Microtus arvalis,mammal,,,,,,,,,,,,Open field activity,binomial,high values = fast,behavior,,22,75.04665216,88,19,71.55417528,80,NA,,,,"exclude, not ratio scale? 30 checks if animal active or not.",0,scale issue,0
216,A267,"Homberger, B; Jenni-Eiermann, S; Roulin, A; Jenni, L",10.1111/1365-2435.12092,Perdix perdix,bird,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,,"exclude, Mixed model output only",0,LS means,0
217,A273,"Horton, BM; Holberton, RL",10.1525/auk.2010.09096,Zonotrichia albicollis,bird,,,,,iteroparous,,,social monogamy,both,,,Baseline corticosterone tan morph prelaying period,ng/ml,high values = slow,physiology,wild,7.85,4.153239699,14,3.64,1.39,12,NA,1,1,NA,"include, but check if all traits should be included or too much overlap ",1,,1
218,A273,"Horton, BM; Holberton, RL",10.1525/auk.2010.09096,Zonotrichia albicollis,bird,,,,,iteroparous,,,social monogamy,both,,,Baseline corticosterone tan morph incubation period,ng/ml,high values = slow,physiology,wild,4.07,3.984469852,10,4.96,3.63,24,NA,NA,1,NA,"include, but check if all traits should be included or too much overlap ",0,", dropped this level of dependency",0
219,A273,"Horton, BM; Holberton, RL",10.1525/auk.2010.09096,Zonotrichia albicollis,bird,,,,,iteroparous,,,social monogamy,both,,,Baseline corticosterone tan morph nestling period,ng/ml,high values = slow,physiology,wild,4.3,2.890397896,24,4.07,2.42,12,NA,NA,1,NA,"include, but check if all traits should be included or too much overlap ",0,", dropped this level of dependency",0
220,A273,"Horton, BM; Holberton, RL",10.1525/auk.2010.09096,Zonotrichia albicollis,bird,,,,,iteroparous,,,social monogamy,both,,,Baseline corticosterone white morph prelaying period,ng/ml,high values = slow,physiology,wild,9.89,6.248567836,14,6.85,4.36,12,NA,2,2,NA,"include, but check if all traits should be included or too much overlap ",1,,1
221,A273,"Horton, BM; Holberton, RL",10.1525/auk.2010.09096,Zonotrichia albicollis,bird,,,,,iteroparous,,,social monogamy,both,,,Baseline corticosterone white morph incubation period,ng/ml,high values = slow,physiology,wild,4.15,2.586967336,11,3.96,3.67,20,NA,NA,2,NA,"include, but check if all traits should be included or too much overlap ",0,", dropped this level of dependency",0
222,A273,"Horton, BM; Holberton, RL",10.1525/auk.2010.09096,Zonotrichia albicollis,bird,,,,,iteroparous,,,social monogamy,both,,,Baseline corticosterone white morph nestling period,ng/ml,high values = slow,physiology,wild,8.52,5.40399852,27,6.04,4.75,12,NA,NA,2,NA,"include, but check if all traits should be included or too much overlap ",0,", dropped this level of dependency",0
223,A273,"Horton, BM; Holberton, RL",10.1525/auk.2010.09096,Zonotrichia albicollis,bird,,,,,iteroparous,,,social monogamy,both,,,30-min corticosterone tan morph prelaying period,ng/ml,high values = slow,physiology,wild,97.77,14.74670472,13,55.39,16.01929774,11,NA,1,1,NA,"include, but check if all traits should be included or too much overlap ",1,,0
224,A273,"Horton, BM; Holberton, RL",10.1525/auk.2010.09096,Zonotrichia albicollis,bird,,,,,iteroparous,,,social monogamy,both,,,30-min corticosterone tan morph incubation period,ng/ml,high values = slow,physiology,wild,52.05,16.74,9,35.69,13.93053481,22,NA,NA,1,NA,"include, but check if all traits should be included or too much overlap ",0,", dropped this level of dependency",0
225,A273,"Horton, BM; Holberton, RL",10.1525/auk.2010.09096,Zonotrichia albicollis,bird,,,,,iteroparous,,,social monogamy,both,,,30-min corticosterone tan morph nestling period,ng/ml,high values = slow,physiology,wild,58.74,27.31181063,6,37.55,13.66130301,8,NA,NA,1,NA,"include, but check if all traits should be included or too much overlap ",0,", dropped this level of dependency",0
226,A273,"Horton, BM; Holberton, RL",10.1525/auk.2010.09096,Zonotrichia albicollis,bird,,,,,iteroparous,,,social monogamy,both,,,30-min corticosterone white morph prelaying period,ng/ml,high values = slow,physiology,wild,101.49,51.44778907,14,53.16,16.01929774,11,NA,2,2,NA,"include, but check if all traits should be included or too much overlap ",1,,0
227,A273,"Horton, BM; Holberton, RL",10.1525/auk.2010.09096,Zonotrichia albicollis,bird,,,,,iteroparous,,,social monogamy,both,,,30-min corticosterone white morph incubation period,ng/ml,high values = slow,physiology,wild,55.02,23.52734579,10,35.69,14.2128463,18,NA,NA,2,NA,"include, but check if all traits should be included or too much overlap ",0,", dropped this level of dependency",0
228,A273,"Horton, BM; Holberton, RL",10.1525/auk.2010.09096,Zonotrichia albicollis,bird,,,,,iteroparous,,,social monogamy,both,,,30-min corticosterone white morph nestling period,ng/ml,high values = slow,physiology,wild,91.82,32.77417276,6,41.26,22.62117371,7,NA,NA,2,NA,"include, but check if all traits should be included or too much overlap ",0,", dropped this level of dependency",0
229,A273,"Horton, BM; Holberton, RL",10.1525/auk.2010.09096,Zonotrichia albicollis,bird,,,,,iteroparous,,,social monogamy,both,,,Total integrated adrenocortical response tan morph prelaying period,ng/ml/min,high values = slow,physiology,wild,1596.4,417.5228377,13,891.4,233.8220477,11,NA,0,1,NA,"include, but check if all traits should be included or too much overlap ",1,,1
230,A273,"Horton, BM; Holberton, RL",10.1525/auk.2010.09096,Zonotrichia albicollis,bird,,,,,iteroparous,,,social monogamy,both,,,Total integrated adrenocortical response tan morph incubation period,ng/ml/min,high values = slow,physiology,wild,790.6,317.4,9,594.2,212.4758339,22,NA,NA,1,NA,"include, but check if all traits should be included or too much overlap ",0,", dropped this level of dependency",0
231,A273,"Horton, BM; Holberton, RL",10.1525/auk.2010.09096,Zonotrichia albicollis,bird,,,,,iteroparous,,,social monogamy,both,,,Total integrated adrenocortical response tan morph nestling period,ng/ml/min,high values = slow,physiology,wild,987.1,468.8323368,6,609.4,185.2619767,8,NA,NA,1,NA,"include, but check if all traits should be included or too much overlap ",0,", dropped this level of dependency",0
232,A273,"Horton, BM; Holberton, RL",10.1525/auk.2010.09096,Zonotrichia albicollis,bird,,,,,iteroparous,,,social monogamy,both,,,Total integrated adrenocortical response white morph prelaying period,ng/ml/min,high values = slow,physiology,wild,1661.9,866.9420165,14,911.5,300.486206,11,NA,0,2,NA,"include, but check if all traits should be included or too much overlap ",1,,1
233,A273,"Horton, BM; Holberton, RL",10.1525/auk.2010.09096,Zonotrichia albicollis,bird,,,,,iteroparous,,,social monogamy,both,,,Total integrated adrenocortical response white morph incubation period,ng/ml/min,high values = slow,physiology,wild,851.1,382.3193691,10,569.1,235.0422941,18,NA,NA,2,NA,"include, but check if all traits should be included or too much overlap ",0,", dropped this level of dependency",0
234,A273,"Horton, BM; Holberton, RL",10.1525/auk.2010.09096,Zonotrichia albicollis,bird,,,,,iteroparous,,,social monogamy,both,,,Total integrated adrenocortical response white morph nestling period,ng/ml/min,high values = slow,physiology,wild,1460.4,505.8196319,6,695,399.7730231,7,NA,NA,2,NA,"include, but check if all traits should be included or too much overlap ",0,", dropped this level of dependency",0
235,A273,"Horton, BM; Holberton, RL",10.1525/auk.2010.09096,Zonotrichia albicollis,bird,,,,,iteroparous,,,social monogamy,both,,,Corrected integrated adrenocortical response tan morph prelaying period,ng/ml/min,high values = slow,physiology,wild,1344,403.8217429,13,774.7,232.1637353,11,NA,NA,1,NA,"include, but check if all traits should be included or too much overlap ",0,", dropped this level of dependency",0
236,A273,"Horton, BM; Holberton, RL",10.1525/auk.2010.09096,Zonotrichia albicollis,bird,,,,,iteroparous,,,social monogamy,both,,,Corrected integrated adrenocortical response tan morph incubation period,ng/ml/min,high values = slow,physiology,wild,672,237.9,9,448,196.9974619,22,NA,NA,1,NA,"include, but check if all traits should be included or too much overlap ",0,", dropped this level of dependency",0
237,A273,"Horton, BM; Holberton, RL",10.1525/auk.2010.09096,Zonotrichia albicollis,bird,,,,,iteroparous,,,social monogamy,both,,,Corrected integrated adrenocortical response tan morph nestling period,ng/ml/min,high values = slow,physiology,wild,793.3,411.5142768,6,476,197.9898987,8,NA,NA,1,NA,"include, but check if all traits should be included or too much overlap ",0,", dropped this level of dependency",0
238,A273,"Horton, BM; Holberton, RL",10.1525/auk.2010.09096,Zonotrichia albicollis,bird,,,,,iteroparous,,,social monogamy,both,,,Corrected integrated adrenocortical response white morph prelaying period,ng/ml/min,high values = slow,physiology,wild,1358,768.1622615,14,700,247.7518718,11,NA,NA,2,NA,"include, but check if all traits should be included or too much overlap ",0,", dropped this level of dependency",0
239,A273,"Horton, BM; Holberton, RL",10.1525/auk.2010.09096,Zonotrichia albicollis,bird,,,,,iteroparous,,,social monogamy,both,,,Corrected integrated adrenocortical response white morph incubation period,ng/ml/min,high values = slow,physiology,wild,723.3,369.0378029,10,466.7,198.1313201,18,NA,NA,2,NA,"include, but check if all traits should be included or too much overlap ",0,", dropped this level of dependency",0
240,A273,"Horton, BM; Holberton, RL",10.1525/auk.2010.09096,Zonotrichia albicollis,bird,,,,,iteroparous,,,social monogamy,both,,,Corrected integrated adrenocortical response white morph nestling period,ng/ml/min,high values = slow,physiology,wild,1148,423.0268786,6,522.7,370.4051835,7,NA,NA,2,NA,"include, but check if all traits should be included or too much overlap ",0,", dropped this level of dependency",0
241,A281,"Hylton, RA; Frederick, PC; de la Fuente, TE; Spalding, MG",10.1650/0010-5422(2006)108[0097:EONHOP]2.0.CO;2,Mycteria americana,bird,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,,"exclude, no data, only give relative measures (females were twice as liley to survive year x etc",0,no sex-specific means given,0
242,A284,"Jacquin, L; Recapet, C; Bouche, P; Leboucher, G; Gasparini, J",10.1093/beheco/ars055,feral pigeon,bird,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,,"exclude, sex only covariate",0,no sex-specific means given,0
243,A286,"Jankowski, MD; Russell, RE; Franson, JC; Dusek, RJ; Hines, MK; Gregg, M; Hofmeister, EK",10.2111/REM-D-13-00137.1,Centrocercus urophasianus,bird,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,,"exclude, sex-specific sample size lacking and only SEM given with means, so cannot calc sd",0,error missing,0
244,A302,"Kaiser, SA; Sillett, TS; Webster, MS",10.1016/j.anbehav.2014.07.004,Setophaga caerulescens,bird,,,,,iteroparous,,,social monogamy,both,,,Nestling provisioning rate - low quality habitat - control,Nest vists/nestling/h,high values = slow,behavior,wild,1.5,1.53,18,1.9,2.59,18,parenting,0,1,1,include ,1,,1
245,A302,"Kaiser, SA; Sillett, TS; Webster, MS",10.1016/j.anbehav.2014.07.004,Setophaga caerulescens,bird,,,,,iteroparous,,,social monogamy,both,,,Nestling provisioning rate - low quality habitat - extra fed,Nest vists/nestling/h,high values = slow,behavior,wild,1.3,1.32,17,3.05,2.06,17,parenting,0,2,2,include ,1,,1
246,A302,"Kaiser, SA; Sillett, TS; Webster, MS",10.1016/j.anbehav.2014.07.004,Setophaga caerulescens,bird,,,,,iteroparous,,,social monogamy,both,,,Nestling provisioning rate - high quality habitat - control,Nest vists/nestling/h,high values = slow,behavior,wild,1.36,1.03,107,2.14,1.24,107,parenting,0,3,3,include ,1,,1
247,A302,"Kaiser, SA; Sillett, TS; Webster, MS",10.1016/j.anbehav.2014.07.004,Setophaga caerulescens,bird,,,,,iteroparous,,,social monogamy,both,,,Nestling provisioning rate - high quality habitat - extra fed,Nest vists/nestling/h,high values = slow,behavior,wild,1.27,1.03,33,2.33,1.26,33,parenting,0,4,4,include ,1,,1
248,A302,"Kaiser, SA; Sillett, TS; Webster, MS",10.1016/j.anbehav.2014.07.004,Setophaga caerulescens,bird,,,,,iteroparous,,,social monogamy,both,,,Prey biomass delivered - low quality habitat - control,Prey biomass delivered/nestling/h,high values = slow,behavior,wild,4.75,5.94,18,4.58,6.66,18,parenting,0,1,1,"?, Does this qualify as a POLS trait?",1,,1
249,A302,"Kaiser, SA; Sillett, TS; Webster, MS",10.1016/j.anbehav.2014.07.004,Setophaga caerulescens,bird,,,,,iteroparous,,,social monogamy,both,,,Prey biomass delivered - low quality habitat - extra fed,Prey biomass delivered/nestling/h,high values = slow,behavior,wild,4.88,6.18,17,8.88,8.45,17,parenting,0,2,2,"?, Does this qualify as a POLS trait?",1,,1
250,A302,"Kaiser, SA; Sillett, TS; Webster, MS",10.1016/j.anbehav.2014.07.004,Setophaga caerulescens,bird,,,,,iteroparous,,,social monogamy,both,,,Prey biomass delivered - high quality habitat - control,Prey biomass delivered/nestling/h,high values = slow,behavior,wild,7.27,7.03,107,8.4,7.03,107,parenting,0,3,3,"?, Does this qualify as a POLS trait?",1,,1
251,A302,"Kaiser, SA; Sillett, TS; Webster, MS",10.1016/j.anbehav.2014.07.004,Setophaga caerulescens,bird,,,,,iteroparous,,,social monogamy,both,,,Prey biomass delivered - high quality habitat - extra fed,Prey biomass delivered/nestling/h,high values = slow,behavior,wild,6.28,6.09,33,9.15,7.47,33,parenting,0,4,4,"?, Does this qualify as a POLS trait?",1,,1
252,A302,"Kaiser, SA; Sillett, TS; Webster, MS",10.1016/j.anbehav.2014.07.004,Setophaga caerulescens,bird,,,,,iteroparous,,,social monogamy,both,,,Time spent at nest - low quality habitat - control,s/nestling/h,high values = slow,behavior,wild,34.62,38.06,18,202.56,266.52,18,parenting,0,1,1,include ,1,,1
253,A302,"Kaiser, SA; Sillett, TS; Webster, MS",10.1016/j.anbehav.2014.07.004,Setophaga caerulescens,bird,,,,,iteroparous,,,social monogamy,both,,,Time spent at nest - low quality habitat - extra fed,s/nestling/h,high values = slow,behavior,wild,33.33,52.86,17,366.67,269.61,17,parenting,0,2,2,include ,1,,1
254,A302,"Kaiser, SA; Sillett, TS; Webster, MS",10.1016/j.anbehav.2014.07.004,Setophaga caerulescens,bird,,,,,iteroparous,,,social monogamy,both,,,Time spent at nest - high quality habitat - control,s/nestling/h,high values = slow,behavior,wild,26.92,39.82,107,207.69,371.35,107,parenting,0,3,3,include ,1,,1
255,A302,"Kaiser, SA; Sillett, TS; Webster, MS",10.1016/j.anbehav.2014.07.004,Setophaga caerulescens,bird,,,,,iteroparous,,,social monogamy,both,,,Time spent at nest - high quality habitat - extra fed,s/nestling/h,high values = slow,behavior,wild,15.39,22.12,33,337.18,316.7,33,parenting,0,4,4,include ,1,,1
256,A304,"Karsten, KB; Andriamandimbiarisoa, LN; Fox, SF; Raxworthy, CJ",10.1073/pnas.0802468105,Furcifer labordi,amphibian,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,,"exclude, no sex-specific mean",0,no sex-specific means given,0
257,A308,"Keynan, O; Yosef, R",10.1676/09-148.1,Lanius meridionalis,bird,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,,"exclude, no sex-specific mean",0,no sex-specific means given,0
258,A314,"Kim, SY; Velando, A",10.1098/rsbl.2015.0211,Larus michahellis,bird,,,,,iteroparous,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,,"exclude, only sex-specific means for telomere length, not clear how to include on POLS scale, also means can be LS, but not clear. If measured at known age (here day 7), then long telomere=slow, life history trait. In the end, sex-specific sample sizes lacking, cannot convert SE to sd.",0,error missing,0
259,A319,"Klose, SM; Smith, CL; Denzel, AJ; Kalko, EKV",10.1007/s00359-005-0067-4,Artibeus jamaicensis,mammal,,,,,iteroparous,,,polygyny,female,,,Corticosterone stress response  - sexually inactive - <30min,ng/ml,high values = slow,physiology,wild,18.47,11.14,8,16.39,9.74,34,NA,1,0,NA,"includeDependencies needs to be checked. Temporal study on different individuals. Then individuals grouped into wet and dry ssseason, probably grouping all temporal samples. That means that some individuals in dry season are the same as in the other sexually active and inactive groups. Because in the temporal measures the seasons are lumped., ",1,,0
260,A319,"Klose, SM; Smith, CL; Denzel, AJ; Kalko, EKV",10.1007/s00359-005-0067-4,Artibeus jamaicensis,mammal,,,,,iteroparous,,,polygyny,female,,,Corticosterone stress response  - sexually active - <30min,ng/ml,high values = slow,physiology,wild,11.2,8.45,34,37.14,29.58,11,NA,2,0,NA,include ,1,,0
261,A319,"Klose, SM; Smith, CL; Denzel, AJ; Kalko, EKV",10.1007/s00359-005-0067-4,Artibeus jamaicensis,mammal,,,,,iteroparous,,,polygyny,female,,,Corticosterone stress response - sexually inactive - 30-60 min,ng/ml,high values = slow,physiology,wild,32.99,25.53,9,29.25,47.52,21,NA,1,0,NA,include ,1,,1
262,A319,"Klose, SM; Smith, CL; Denzel, AJ; Kalko, EKV",10.1007/s00359-005-0067-4,Artibeus jamaicensis,mammal,,,,,iteroparous,,,polygyny,female,,,Corticosterone stress response  - sexually active - 30-60 min,ng/ml,high values = slow,physiology,wild,39,34.35,20,64.73,56.01,9,NA,2,0,NA,include ,1,,1
263,A319,"Klose, SM; Smith, CL; Denzel, AJ; Kalko, EKV",10.1007/s00359-005-0067-4,Artibeus jamaicensis,mammal,,,,,iteroparous,,,polygyny,female,,,Corticosterone stress response - sexually inactive - >60min,ng/ml,high values = slow,physiology,wild,25.31,21.74,14,46.27,54.59,48,NA,1,0,NA,include ,1,,0
264,A319,"Klose, SM; Smith, CL; Denzel, AJ; Kalko, EKV",10.1007/s00359-005-0067-4,Artibeus jamaicensis,mammal,,,,,iteroparous,,,polygyny,female,,,Corticosterone stress response - sexually active - >60min,ng/ml,high values = slow,physiology,wild,30.08,39.83,47,24.27,20.55,9,NA,2,0,NA,include ,1,,0
265,A319,"Klose, SM; Smith, CL; Denzel, AJ; Kalko, EKV",10.1007/s00359-005-0067-4,Artibeus jamaicensis,mammal,,,,,,,,,,,,Corticosterone stress response - sexually inactive - Dry season,ng/ml,,,,17.61,NA,1,21.74,4.13,16,NA,,,,"exclude, N=1, no error estimate",0,error missing,0
