sort,study,ref,source,species,taxon,thermy,growth,climate_pop,climate_sp,breeding,dispersal,migration,mating,parenting,SSD,ageclass,trait,unit,direction,category,background,Mean_M,SD_M,M_n,Mean_F,SD_F,F_n,behavioural categories,Dependency temporal level,Dependency individual level,Dependency behaviour,notes,include_1,reason for exclusion,include_2
333,A17,"Angelier, F; Moe, B; Weimerskirch, H; Chastel, O",10.1111/j.1365-2656.2007.01295.x,Pagodroma nivea,bird,,,,,iteroparous,,,social monogamy,both,,,baseline prolactin,ng/ml,high values = slow,physiology,wild,85,48,24,100,48,24,NA,2,1,NA,Fig 3 ,1,,1
334,A17,"Angelier, F; Moe, B; Weimerskirch, H; Chastel, O",10.1111/j.1365-2656.2007.01295.x,Pagodroma nivea,bird,,,,,iteroparous,,,social monogamy,both,,,stress prolactin,ng/ml,high values = slow,physiology,wild,64,24,24,80,48,24,NA,2,1,NA,Fig 3 ,1,,0
335,A18,"Angelier, F; Shaffer, SA; Weimerskirch, H; Trouve, C; Chastel, O",10.1086/512585,Diomedea exulans,bird,,,,,iteroparous,,,social monogamy,both,,,pre-trip corticosterone,ng/ml,high values = slow,physiology,wild,10.47,19.83341625,11,7.24,13.79653942,5,NA,1,1,NA, ,1,,1
336,A18,"Angelier, F; Shaffer, SA; Weimerskirch, H; Trouve, C; Chastel, O",10.1086/512585,Diomedea exulans,bird,,,,,iteroparous,,,social monogamy,both,,,post-trip corticosterone,ng/ml,high values = slow,physiology,wild,6.23,8.889724405,7,3.84,2.86,4,NA,1,1,NA, ,1,,0
337,A18,"Angelier, F; Shaffer, SA; Weimerskirch, H; Trouve, C; Chastel, O",10.1086/512585,Diomedea exulans,bird,,,,,iteroparous,,,social monogamy,both,,,time at seas,days,high values = fast,behavior,wild,10.93,13.86349162,11,10.15,5.075874309,5,NA,0,1,NA, ,1,,0
338,A18,"Angelier, F; Shaffer, SA; Weimerskirch, H; Trouve, C; Chastel, O",10.1086/512585,Diomedea exulans,bird,,,,,iteroparous,,,social monogamy,both,,,daily distance covered,km/day,high values = fast,behavior,wild,514.33,504.33,9,526.4,118.287996,5,foraging,0,1,1, ,0,", not a POLS trait",0
339,A18,"Angelier, F; Shaffer, SA; Weimerskirch, H; Trouve, C; Chastel, O",10.1086/512585,Diomedea exulans,bird,,,,,iteroparous,,,social monogamy,both,,,maximal forage range ,km,high values = fast,behavior,wild,1257,1971.9,9,1251.4,696.2892075,5,foraging,0,1,1, ,0,", not a POLS trait",0
340,A21,"Angelier, F; Wingfield, JC; Parenteau, C; Pelle, M; Chastel, O",10.1016/j.yhbeh.2014.11.009,Pagodroma nivea,bird,,,,,iteroparous,,,social monogamy,both,,,baseline prolactin level non-fasting,ng/ml,high values = slow,physiology,wild,145,16,16,232,23.23790008,15,NA,1,1,NA,Fig. 3 ,1,,1
341,A21,"Angelier, F; Wingfield, JC; Parenteau, C; Pelle, M; Chastel, O",10.1016/j.yhbeh.2014.11.009,Pagodroma nivea,bird,,,,,iteroparous,,,social monogamy,both,,,stress prolactin level non-fasting,ng/ml,high values = slow,physiology,wild,92,8,16,175,11.61895004,15,NA,1,1,NA,Fig. 3 ,1,,0
342,A21,"Angelier, F; Wingfield, JC; Parenteau, C; Pelle, M; Chastel, O",10.1016/j.yhbeh.2014.11.009,Pagodroma nivea,bird,,,,,iteroparous,,,social monogamy,both,,,baseline prolactin level fasting,ng/ml,high values = slow,physiology,wild,145,18.70828693,14,227,18.70828693,14,NA,2,2,NA,Fig. 3 ,1,,1
343,A21,"Angelier, F; Wingfield, JC; Parenteau, C; Pelle, M; Chastel, O",10.1016/j.yhbeh.2014.11.009,Pagodroma nivea,bird,,,,,iteroparous,,,social monogamy,both,,,stress prolactin level fasting,ng/ml,high values = slow,physiology,wild,100,7.483314774,14,118,11.22497216,14,NA,2,2,NA,Fig. 3 ,1,,0
344,A21,"Angelier, F; Wingfield, JC; Parenteau, C; Pelle, M; Chastel, O",10.1016/j.yhbeh.2014.11.009,Pagodroma nivea,bird,,,,,iteroparous,,,social monogamy,both,,,stress recovery 30min prolactin non-fasting,ng/ml,high values = slow,physiology,wild,85,5.511351921,13.5,174,7.348469228,13.5,NA,3,1,NA,Fig. 3 ,1,,1
345,A21,"Angelier, F; Wingfield, JC; Parenteau, C; Pelle, M; Chastel, O",10.1016/j.yhbeh.2014.11.009,Pagodroma nivea,bird,,,,,iteroparous,,,social monogamy,both,,,stress recovery 50min prolactin non-fasting,ng/ml,high values = slow,physiology,wild,86,5.511351921,13.5,174,7.348469228,13.5,NA,3,1,NA,Fig. 3 ,1,,0
346,A21,"Angelier, F; Wingfield, JC; Parenteau, C; Pelle, M; Chastel, O",10.1016/j.yhbeh.2014.11.009,Pagodroma nivea,bird,,,,,iteroparous,,,social monogamy,both,,,stress recovery 30min prolactin fasting,ng/ml,high values = slow,physiology,wild,100,6.480740698,10.5,170,6.480740698,10.5,NA,4,2,NA,Fig. 3 ,1,,1
347,A21,"Angelier, F; Wingfield, JC; Parenteau, C; Pelle, M; Chastel, O",10.1016/j.yhbeh.2014.11.009,Pagodroma nivea,bird,,,,,iteroparous,,,social monogamy,both,,,stress recovery 50min prolactin fasting,ng/ml,high values = slow,physiology,wild,85,6.480740698,10.5,168,6.480740698,10.5,NA,4,2,NA,Fig. 3 ,1,,0
348,A22,"Angelier, F; Wingfield, JC; Weimerskirch, H; Chastel, O",10.1098/rsbl.2010.0376,Thalassarche melanophrys,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,, ,0,"only model output, ",0
349,A39,"Becker, PH; Dittmann, T; Ludwigs, JD; Limmer, B; Ludwig, SC; Bauch, C; Braasch, A; Wendeln, H",10.1073/pnas.0804179105,Sterna hirundo,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,, ,0,"calendar dates, scale issue, ",0
350,A47,"Bijleveld, AI; Massourakis, G; van der Marel, A; Dekinga, A; Spaans, B; van Gils, JA; Piersma, T",10.1098/rspb.2013.3135,Calidris canutus,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,, ,0,"only model output, ",0
